# side(0=real,1=sim) event ncl R_cm rms_cm medtb
0 10 29 55.10 0.0650 944.0
0 10 24 280.89 0.0386 102.3
0 10 16 400.57 0.0311 482.5
0 10 44 127.12 0.0656 942.9
0 10 17 86.91 0.1247 905.6
0 10 29 124.10 0.0347 371.4
0 10 29 146.70 0.0503 37.4
0 10 39 79.18 0.0493 119.9
0 10 30 110.04 0.0510 905.7
0 10 38 108.27 0.0551 854.1
0 10 31 55.78 0.1104 881.8
0 10 23 84.85 0.0432 132.6
0 10 15 102.42 0.0541 396.8
0 10 22 79.68 0.0381 12.4
0 10 40 92.10 0.0656 803.7
0 10 24 58.23 0.0777 837.1
0 10 32 177.14 0.0324 451.6
0 10 14 51.53 0.0326 935.7
0 10 35 128.58 0.0780 784.2
0 10 22 171.91 0.0422 827.7
0 10 17 53.18 0.0226 315.4
0 10 46 175.44 0.0528 237.7
0 10 19 282.05 0.1098 128.3
0 10 14 154.73 0.0778 552.3
0 10 16 131.68 0.0463 755.8
0 10 27 72.96 0.1230 191.7
0 10 39 128.49 0.0346 899.4
0 10 35 103.79 0.0467 202.9
0 10 38 75.72 0.0674 851.6
0 10 45 201.73 0.0405 484.2
0 10 15 483.73 0.0195 243.5
0 10 16 114.34 0.0275 179.4
0 10 21 62.94 0.0409 527.0
0 10 38 90.90 0.0642 724.9
0 10 44 112.54 0.0556 534.7
0 10 40 92.39 0.0563 874.2
0 10 37 180.22 0.0790 547.3
0 10 18 46.45 0.1372 710.5
0 10 27 68.72 0.1116 842.8
0 10 14 62.51 0.1116 940.5
0 10 19 73.64 0.0694 719.3
0 10 20 293.94 0.0388 64.6
0 10 25 72.04 0.0598 333.7
0 10 13 199.30 0.1648 934.9
0 10 16 77.33 0.0458 66.4
0 10 31 93.61 0.0459 901.1
0 10 39 157.14 0.0447 62.0
0 10 21 118.69 0.0394 221.2
0 10 25 80.15 0.0773 504.4
0 10 41 54.29 0.0763 767.3
0 10 31 112.32 0.0536 95.2
0 10 18 72.87 0.0438 14.5
0 10 17 48.45 0.0453 238.8
0 10 17 305.95 0.1124 912.8
0 10 41 279.14 0.0510 488.0
0 10 32 68.51 0.0601 419.6
0 10 19 46.65 0.0815 438.8
0 10 35 73.05 0.0746 141.4
0 10 46 120.00 0.0514 341.9
0 10 25 53.61 0.0510 135.0
0 10 38 127.49 0.0566 874.8
0 10 43 113.37 0.0700 322.0
0 10 15 72.80 0.1111 111.7
0 10 20 107.69 0.0970 933.4
0 10 15 75.08 0.0244 807.7
0 10 36 51.75 0.0818 28.5
0 10 37 152.86 0.0275 921.1
0 10 26 65.08 0.0883 650.7
0 10 34 134.19 0.0589 759.6
0 10 18 292.18 0.0390 733.3
0 10 35 77.55 0.0602 869.4
0 10 37 46.93 0.1134 834.3
0 10 29 55.90 0.0807 462.7
0 10 15 61.02 0.0735 835.0
0 10 39 149.64 0.0729 828.9
0 10 33 255.95 0.0414 391.7
0 10 37 61.08 0.1005 222.9
0 10 30 338.81 0.0399 773.7
0 10 24 206.68 0.0477 99.9
0 10 27 87.81 0.0385 735.7
0 10 29 47.42 0.1220 909.5
0 10 16 538.53 0.0753 804.8
0 10 42 122.48 0.0863 139.8
0 10 20 56.50 0.1005 460.1
0 10 31 106.89 0.0469 776.6
0 10 31 99.87 0.0559 209.1
0 10 17 607.11 0.0366 641.5
0 10 24 59.38 0.0927 584.8
0 10 27 49.64 0.1190 868.9
0 10 15 127.91 0.0366 407.2
0 10 16 106.31 0.0304 38.3
0 10 43 748.32 0.0492 412.1
0 10 17 64.71 0.0626 66.3
0 10 21 52.28 0.0675 744.3
0 10 38 51.41 0.1004 132.6
0 10 13 51.09 0.1513 168.3
0 10 13 184.14 0.0220 31.1
0 10 13 53.27 0.1206 709.3
0 10 16 110.95 0.0791 735.2
0 10 30 116.30 0.0537 397.3
0 10 33 46.36 0.0431 563.0
0 10 27 114.44 0.0570 228.6
0 10 13 77.55 0.0181 415.4
0 10 17 50.74 0.1108 145.6
0 10 16 115.37 0.1200 50.7
0 10 26 48.56 0.0726 190.3
0 10 20 89.32 0.0539 352.8
0 10 22 63.54 0.0966 607.1
0 10 21 97.87 0.0516 885.1
0 10 27 103.75 0.0537 626.6
0 10 16 180.28 0.0437 58.2
0 10 26 945.62 0.0398 786.0
0 10 15 58.23 0.0696 454.0
0 10 23 120.45 0.0538 68.8
0 10 18 583.02 0.0411 250.7
